"E5100A REV3.31"
"DATE: Mar 19 2044"



"CHANNEL: 1"
"MEASURE TYPE: AR"
"FORMAT TYPE: MAGZP"
"NUMBER of POINTS: 201"
"SWEEP TIME:  64.32 ms"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 30 kHz"

"Frequency"	"Main Array"	"Sub Array"
1.66504450000E+08	4.347168E+02	-2.389019E+01
1.68004400000E+08	4.337631E+02	-2.427044E+01
1.69504350000E+08	4.322756E+02	-2.429010E+01
1.71004300000E+08	4.315912E+02	-2.446133E+01
1.72504250000E+08	4.323221E+02	-2.498700E+01
1.74004200000E+08	4.306576E+02	-2.466205E+01
1.75504150000E+08	4.299372E+02	-2.520996E+01
1.77004100000E+08	4.299901E+02	-2.545314E+01
1.78504050000E+08	4.273346E+02	-2.575877E+01
1.80004000000E+08	4.283077E+02	-2.601989E+01
1.81503950000E+08	4.273921E+02	-2.607053E+01
1.83003900000E+08	4.259347E+02	-2.628469E+01
1.84503850000E+08	4.251237E+02	-2.644304E+01
1.86003800000E+08	4.240033E+02	-2.685456E+01
1.87503750000E+08	4.246601E+02	-2.646562E+01
1.89003700000E+08	4.224003E+02	-2.718549E+01
1.90503650000E+08	4.218800E+02	-2.714205E+01
1.92003600000E+08	4.219366E+02	-2.747964E+01
1.93503550000E+08	4.213177E+02	-2.747756E+01
1.95003500000E+08	4.209580E+02	-2.776451E+01
1.96503450000E+08	4.194932E+02	-2.809322E+01
1.98003400000E+08	4.182180E+02	-2.832767E+01
1.99503350000E+08	4.202418E+02	-2.846116E+01
2.01003300000E+08	4.185719E+02	-2.881492E+01
2.02503250000E+08	4.189730E+02	-2.876899E+01
2.04003200000E+08	4.171684E+02	-2.904569E+01
2.05503150000E+08	4.157724E+02	-2.930290E+01
2.07003100000E+08	4.163700E+02	-2.932105E+01
2.08503050000E+08	4.135040E+02	-2.963750E+01
2.10003000000E+08	4.134715E+02	-2.977691E+01
2.11502950000E+08	4.119503E+02	-3.007955E+01
2.13002900000E+08	4.127389E+02	-3.022623E+01
2.14502850000E+08	4.133216E+02	-3.027085E+01
2.16002800000E+08	4.120001E+02	-3.058624E+01
2.17502750000E+08	4.098610E+02	-3.075143E+01
2.19002700000E+08	4.090984E+02	-3.099267E+01
2.20502650000E+08	4.089416E+02	-3.094710E+01
2.22002600000E+08	4.077989E+02	-3.139824E+01
2.23502550000E+08	4.082621E+02	-3.151111E+01
2.25002500000E+08	4.063260E+02	-3.188165E+01
2.26502450000E+08	4.056311E+02	-3.192500E+01
2.28002400000E+08	4.058582E+02	-3.222455E+01
2.29502350000E+08	4.050930E+02	-3.219910E+01
2.31002300000E+08	4.048945E+02	-3.259375E+01
2.32502250000E+08	4.030721E+02	-3.262515E+01
2.34002200000E+08	4.024813E+02	-3.265062E+01
2.35502150000E+08	4.016326E+02	-3.286256E+01
2.37002100000E+08	3.989901E+02	-3.325311E+01
2.38502050000E+08	3.985008E+02	-3.333532E+01
2.40002000000E+08	3.995509E+02	-3.357028E+01
2.41501950000E+08	3.988529E+02	-3.373984E+01
2.43001900000E+08	3.969593E+02	-3.373891E+01
2.44501850000E+08	3.956330E+02	-3.403928E+01
2.46001800000E+08	3.944929E+02	-3.423327E+01
2.47501750000E+08	3.933773E+02	-3.434949E+01
2.49001700000E+08	3.964909E+02	-3.466319E+01
2.50501650000E+08	3.921961E+02	-3.475586E+01
2.52001600000E+08	3.909978E+02	-3.475331E+01
2.53501550000E+08	3.920128E+02	-3.476888E+01
2.55001500000E+08	3.921909E+02	-3.491750E+01
2.56501450000E+08	3.901819E+02	-3.507158E+01
2.58001400000E+08	3.909368E+02	-3.509542E+01
2.59501350000E+08	3.914458E+02	-3.518760E+01
2.61001300000E+08	3.914234E+02	-3.560847E+01
2.62501250000E+08	3.893961E+02	-3.610703E+01
