"E5100A REV3.31"
"DATE: Mar 19 2044"



"CHANNEL: 1"
"MEASURE TYPE: AR"
"FORMAT TYPE: MAGZP"
"NUMBER of POINTS: 201"
"SWEEP TIME:  64.32 ms"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 30 kHz"

"Frequency"	"Main Array"	"Sub Array"
1.00000000000E+04	4.982545E+01	1.413222E+00
1.50995000000E+06	5.003682E+01	7.204314E-02
3.00990000000E+06	5.001097E+01	-3.447324E-02
4.50985000000E+06	5.000486E+01	3.977688E-02
6.00980000000E+06	4.994791E+01	3.258684E-02
7.50975000000E+06	5.003379E+01	7.133279E-03
9.00970000000E+06	5.003017E+01	5.241829E-02
1.05096500000E+07	4.997686E+01	4.115019E-02
1.20096000000E+07	5.007229E+01	1.348536E-02
1.35095500000E+07	4.999518E+01	-4.114164E-02
1.50095000000E+07	4.999707E+01	1.222604E-03
1.65094500000E+07	4.997092E+01	-9.053417E-03
1.80094000000E+07	5.006491E+01	2.485678E-02
1.95093500000E+07	5.001682E+01	2.076890E-02
2.10093000000E+07	4.993203E+01	-1.236265E-03
2.25092500000E+07	5.003465E+01	-8.272041E-02
2.40092000000E+07	4.998195E+01	-2.905050E-02
2.55091500000E+07	5.001323E+01	-1.115028E-01
2.70091000000E+07	5.002272E+01	8.561643E-03
2.85090500000E+07	5.001147E+01	2.898049E-02
3.00090000000E+07	5.004325E+01	-1.179847E-01
3.15089500000E+07	5.001929E+01	1.634806E-02
3.30089000000E+07	5.000563E+01	-8.732397E-03
3.45088500000E+07	5.003434E+01	2.052814E-02
3.60088000000E+07	5.001579E+01	-3.504911E-02
3.75087500000E+07	5.004270E+01	-2.112578E-02
3.90087000000E+07	5.005281E+01	1.530987E-02
4.05086500000E+07	4.999300E+01	1.403604E-02
4.20086000000E+07	5.003031E+01	-2.271038E-02
4.35085500000E+07	5.008092E+01	-2.856728E-02
4.50085000000E+07	5.000365E+01	-4.572129E-02
4.65084500000E+07	5.013613E+01	-7.736910E-02
4.80084000000E+07	4.984525E+01	-1.486491E-01
