"E5100A REV3.31"
"DATE: Mar 19 2044"



"CHANNEL: 1"
"MEASURE TYPE: AR"
"FORMAT TYPE: MAGZP"
"NUMBER of POINTS: 201"
"SWEEP TIME:  64.32 ms"
"SWEEP TYPE: LINF"
"SOURCE POWER: 0 dBm"
"IF BANDWIDTH: 30 kHz"

"Frequency"	"Main Array"	"Sub Array"
1.66504450000E+08	2.473162E+02	-1.553650E+01
1.68004400000E+08	2.467528E+02	-1.541410E+01
1.69504350000E+08	2.464660E+02	-1.567589E+01
1.71004300000E+08	2.462845E+02	-1.569791E+01
1.72504250000E+08	2.463039E+02	-1.593622E+01
1.74004200000E+08	2.458230E+02	-1.595900E+01
1.75504150000E+08	2.455772E+02	-1.609397E+01
1.77004100000E+08	2.455998E+02	-1.606999E+01
1.78504050000E+08	2.451199E+02	-1.629247E+01
1.80004000000E+08	2.446987E+02	-1.647832E+01
1.81503950000E+08	2.446791E+02	-1.654391E+01
1.83003900000E+08	2.444914E+02	-1.668752E+01
1.84503850000E+08	2.443586E+02	-1.679020E+01
1.86003800000E+08	2.431240E+02	-1.692528E+01
1.87503750000E+08	2.437884E+02	-1.688334E+01
1.89003700000E+08	2.431811E+02	-1.717123E+01
1.90503650000E+08	2.432983E+02	-1.720283E+01
1.92003600000E+08	2.427471E+02	-1.723138E+01
1.93503550000E+08	2.424503E+02	-1.739516E+01
1.95003500000E+08	2.425276E+02	-1.744772E+01
1.96503450000E+08	2.419563E+02	-1.762521E+01
1.98003400000E+08	2.419805E+02	-1.780220E+01
1.99503350000E+08	2.419950E+02	-1.804473E+01
2.01003300000E+08	2.414459E+02	-1.811148E+01
2.02503250000E+08	2.409672E+02	-1.813080E+01
2.04003200000E+08	2.407237E+02	-1.822881E+01
2.05503150000E+08	2.398262E+02	-1.838986E+01
2.07003100000E+08	2.399365E+02	-1.850619E+01
2.08503050000E+08	2.387964E+02	-1.860943E+01
2.10003000000E+08	2.393520E+02	-1.875197E+01
2.11502950000E+08	2.386197E+02	-1.884805E+01
2.13002900000E+08	2.384811E+02	-1.898557E+01
2.14502850000E+08	2.384516E+02	-1.898278E+01
2.16002800000E+08	2.380613E+02	-1.918194E+01
2.17502750000E+08	2.372940E+02	-1.923725E+01
2.19002700000E+08	2.371984E+02	-1.935554E+01
2.20502650000E+08	2.365107E+02	-1.940980E+01
2.22002600000E+08	2.367116E+02	-1.967988E+01
2.23502550000E+08	2.366486E+02	-1.962544E+01
2.25002500000E+08	2.359779E+02	-1.986147E+01
2.26502450000E+08	2.356344E+02	-1.996482E+01
2.28002400000E+08	2.352289E+02	-2.010664E+01
2.29502350000E+08	2.349732E+02	-2.021862E+01
2.31002300000E+08	2.350950E+02	-2.035892E+01
2.32502250000E+08	2.342712E+02	-2.045839E+01
2.34002200000E+08	2.341467E+02	-2.037278E+01
2.35502150000E+08	2.338880E+02	-2.051804E+01
2.37002100000E+08	2.329125E+02	-2.077854E+01
2.38502050000E+08	2.326214E+02	-2.092073E+01
2.40002000000E+08	2.327953E+02	-2.107557E+01
2.41501950000E+08	2.326687E+02	-2.114701E+01
2.43001900000E+08	2.324650E+02	-2.135835E+01
2.44501850000E+08	2.320643E+02	-2.138551E+01
2.46001800000E+08	2.313257E+02	-2.157937E+01
2.47501750000E+08	2.307281E+02	-2.170813E+01
2.49001700000E+08	2.315425E+02	-2.195162E+01
2.50501650000E+08	2.311070E+02	-2.204774E+01
2.52001600000E+08	2.305783E+02	-2.216809E+01
2.53501550000E+08	2.303326E+02	-2.234921E+01
2.55001500000E+08	2.303762E+02	-2.254744E+01
2.56501450000E+08	2.302651E+02	-2.291554E+01
2.58001400000E+08	2.302734E+02	-2.324049E+01
2.59501350000E+08	2.302095E+02	-2.371150E+01
2.61001300000E+08	2.281829E+02	-2.437640E+01
2.62501250000E+08	2.246124E+02	-2.482300E+01
2.64001200000E+08	2.213666E+02	-2.456565E+01
2.65501150000E+08	2.196388E+02	-2.413257E+01
2.67001100000E+08	2.178122E+02	-2.376872E+01
2.68501050000E+08	2.182302E+02	-2.345497E+01
2.70001000000E+08	2.191043E+02	-2.325069E+01
2.71500950000E+08	2.191802E+02	-2.329123E+01
2.73000900000E+08	2.191357E+02	-2.323704E+01
2.74500850000E+08	2.193495E+02	-2.321337E+01
2.76000800000E+08	2.194556E+02	-2.343079E+01
2.77500750000E+08	2.194813E+02	-2.377606E+01
2.79000700000E+08	2.193973E+02	-2.362404E+01
2.80500650000E+08	2.190125E+02	-2.368513E+01
2.82000600000E+08	2.192475E+02	-2.370829E+01
2.83500550000E+08	2.183778E+02	-2.395804E+01
2.85000500000E+08	2.181052E+02	-2.400754E+01
2.86500450000E+08	2.179865E+02	-2.404298E+01
2.88000400000E+08	2.180709E+02	-2.411710E+01
2.89500350000E+08	2.168703E+02	-2.420389E+01
2.91000300000E+08	2.172518E+02	-2.417063E+01
2.92500250000E+08	2.166319E+02	-2.429090E+01
2.94000200000E+08	2.165980E+02	-2.432566E+01
2.95500150000E+08	2.161752E+02	-2.437556E+01
2.97000100000E+08	2.161838E+02	-2.453743E+01
2.98500050000E+08	2.159789E+02	-2.437387E+01
3.00000000000E+08	2.163455E+02	-2.457356E+01
